order_number,record_type,order_type,borough,on_street,from_street,side_of_street,order_completed_on_date,sign_code,sign_description,sign_size,sign_location,distance_from_intersection,arrow_direction,sheeting_type,support,to_street,facing_direction,sign_notes,sign_design_voided_on_date,on_street_suffix,from_street_suffix,to_street_suffix,geometry
R-01674606,Historical,R-,Staten Island,FOREST AVENUE,MAPLE PARKWAY,@,2023-10-11T00:00:00.000,SI-XXXG,"36"" STREET NAME SIGN (PROPER NAME TO BE SPECIFIED)",036 X 009,N/W C,0,,TIII,SAME,,,VINCENT C.POMPA WAY,,,,,POINT (940758 167400)
S-01519032,Historical,S-,Queens,58 STREET,55 DRIVE,W,2021-03-31T00:00:00.000,PL,PROPERTY LINE,N/A,,718,,,,56 DRIVE,,,,,,,POINT EMPTY
P-310943,Historical,P-,Brooklyn,PROSPECT PARK WEST,WINDSOR PLACE,W,2012-11-02T00:00:00.000,CL,CURB LINE,N/A,,0,,,,PROSPECT AVENUE,,,,,,,POINT EMPTY
R-01674569,Historical,R-,Manhattan,9 AVENUE,WEST   55 STREET,E,2023-10-10T00:00:00.000,PS-9A,PAY-BY-CELL LOCATOR NUMBER,018 X 006,,65,,PNTD,SAME,WEST   54 STREET,,101454,,,,,POINT (987913 218519)
R-01650888,Historical,R-,Brooklyn,KENT AVENUE,CLYMER STREET,E,2023-10-26T00:00:00.000,PL,PROPERTY LINE,N/A,,913,,,,DIVISION AVENUE,,,,,,,POINT EMPTY
S-282175,Historical,S-,Brooklyn,TROY AVENUE,PROSPECT PLACE,E,2011-08-04T00:00:00.000,CL,CURB LINE,N/A,,600,,,,BERGEN STREET,,,,,,,POINT EMPTY
C-00595792,Historical,C-,Bronx,GARRISON AVENUE,LONGWOOD AVENUE,@,2017-11-28T00:00:00.000,R1-1,STOP,030 X 030,S/W C,0,,TIII,DR,,West,,,,,,POINT (1013545 236213)
R-01677691,Historical,R-,Staten Island,LINDENWOOD ROAD,PLEASANT STREET,@,2023-10-31T00:00:00.000,R1-1,STOP,030 X 030,N/E C,0,,TIII,DR,,East,,,,,,POINT (941896 139247)
R-632834,Historical,R-,Manhattan,EAST   56 STREET,MADISON AVENUE,S,2001-11-21T00:00:00.000,CL,CURB LINE,N/A,,430,,,,PARK AVENUE,,,,,,,POINT EMPTY
P-189309,Historical,P-,Manhattan,MURRAY STREET,WEST STREET,S,2008-07-18T00:00:00.000,PL,PROPERTY LINE,N/A,,19,,,,GREENWICH STREET,,,,,,,POINT EMPTY
P-830684,Historical,P-,Brooklyn,EAST   14 STREET,KINGS HIGHWAY,W,1988-12-06T00:00:00.000,CL,CURB LINE,N/A,,934,,,,AVENUE R,,,,,,,POINT EMPTY
R-685193,Historical,R-,Queens,108 STREET,NORTHERN BOULEVARD,E,2004-07-21T00:00:00.000,PL,PROPERTY LINE,N/A,,836,,,,ASTORIA BOULEVARD,,,,,,,POINT EMPTY
S-269598,Historical,S-,Queens,104 STREET,32 AVENUE,E,2011-04-15T00:00:00.000,BL,BUILDING LINE,N/A,,640,,,,NORTHERN BOULEVARD,,,,,,,POINT EMPTY
